Date, Open, High, Low, Close
9/4/2013,14832.42,14956.74,14799.09,14930.87
9/3/2013,14801.55,14933.35,14777.48,14833.96
8/30/2013,14844.1,14848.24,14762.35,14810.31
8/29/2013,14817.91,14916.01,14792.11,14840.95
8/28/2013,14770.99,14867.4,14760.41,14824.51
8/27/2013,14939.25,14939.25,14765.42,14776.13
8/26/2013,15014.58,15049.98,14945.24,14946.46
8/23/2013,14988.78,15025.56,14931.24,15010.51
8/22/2013,14908.6,14989.12,14899,14963.74
8/21/2013,14993.81,15019.7,14880.84,14897.55
8/20/2013,15011.82,15074.92,14992.16,15002.99
8/19/2013,15076.79,15106.39,15005.42,15010.74
8/16/2013,15112.57,15139.77,15054.38,15081.47
8/15/2013,15332.71,15332.71,15094.03,15112.19
8/14/2013,15447.71,15453.08,15316.62,15337.66
8/13/2013,15420.68,15504.14,15342.34,15451.01
8/12/2013,15415.22,15441.75,15359.93,15419.68
8/9/2013,15496.63,15507.76,15346.65,15425.51
8/8/2013,15477.27,15557.12,15418.6,15498.32
8/7/2013,15516.21,15516.21,15421.75,15470.67
8/6/2013,15608.44,15608.44,15473.4,15518.74
8/5/2013,15651.98,15655.21,15584.83,15612.13
8/2/2013,15627.56,15658.43,15558.68,15658.36
8/1/2013,15503.85,15650.69,15503.85,15628.02
7/31/2013,15528.57,15634.32,15492.96,15499.54
7/30/2013,15534.49,15593.91,15479.13,15520.59
